x,density,Estimators
0.0002071540524247,926.7404026478858,Welsch
0.0002103176113654,950.034155957104,Welsch
0.0002134811703061,973.33644126629,Welsch
0.0002166447292468,996.648653879632,Welsch
0.0002198082881874,1019.9718418976852,Welsch
0.0002229718471281,1043.3062947896583,Welsch
0.0002261354060688,1066.651133357446,Welsch
0.0002292989650095,1090.0039103233178,Welsch
0.0002324625239502,1113.3602307437009,Welsch
0.0002356260828908,1136.7134011040805,Welsch
0.0002387896418315,1160.054115298403,Welsch
0.0002419532007722,1183.3701847747552,Welsch
0.0002451167597129,1206.6463189882925,Welsch
0.0002482803186535,1229.8639610081673,Welsch
0.0002514438775942,1253.0011817504762,Welsch
0.0002546074365349,1276.032634930534,Welsch
0.0002577709954756,1298.9295735170954,Welsch
0.0002609345544162,1321.659927291566,Welsch
0.0002640981133569,1344.18844011514,Welsch
0.0002672616722976,1366.4768647157723,Welsch
0.0002704252312383,1388.4842122344862,Welsch
0.0002735887901789,1410.167053404766,Welsch
0.0002767523491196,1431.47986804811,Welsch
0.0002799159080603,1452.3754395048634,Welsch
0.000283079467001,1472.8052906224432,Welsch
0.0002862430259417,1492.7201579254267,Welsch
0.0002894065848823,1512.0705005278985,Welsch
0.000292570143823,1530.807040156335,Welsch
0.0002957337027637,1548.881328283987,Welsch
0.0002988972617044,1566.2463358032696,Welsch
0.000302060820645,1582.8570598726142,Welsch
0.0003052243795857,1598.6711415816017,Welsch
0.0003083879385264,1613.649486921216,Welsch
0.0003115514974671,1627.7568822849826,Welsch
0.0003147150564077,1640.9625944404445,Welsch
0.0003178786153484,1653.240943693191,Welsch
0.0003210421742891,1664.5718379191203,Welsch
0.0003242057332298,1674.941254368278,Welsch
0.0003273692921704,1684.3416557431362,Welsch
0.0003305328511111,1692.7723271106418,Welsch
0.0003336964100518,1700.239620784768,Welsch
0.0003368599689925,1706.7570974563882,Welsch
0.0003400235279331,1712.3455535597234,Welsch
0.0003431870868738,1717.0329271300357,Welsch
0.0003463506458145,1720.8540771725632,Welsch
0.0003495142047552,1723.8504347456812,Welsch
0.0003526777636959,1726.0695274518123,Welsch
0.0003558413226365,1727.5643826945911,Welsch
0.0003590048815772,1728.392818754592,Welsch
0.0003621684405179,1728.616636299902,Welsch
0.0003653319994586,1728.3007262286517,Welsch
0.0003684955583992,1727.5121125893843,Welsch
0.0003716591173399,1726.318951611681,Welsch
0.0003748226762806,1724.7895094963965,Welsch
0.0003779862352213,1722.991142484143,Welsch
0.0003811497941619,1720.9893027989729,Welsch
0.0003843133531026,1718.846593343566,Welsch
0.0003874769120433,1716.6218925316946,Welsch
0.000390640470984,1714.369568447671,Welsch
0.0003938040299246,1712.1387987158869,Welsch
0.0003969675888653,1709.9730091680772,Welsch
0.000400131147806,1707.9094407518758,Welsch
0.0004032947067467,1705.97885028384,Welsch
0.0004064582656874,1704.2053467686076,Welsch
0.000409621824628,1702.6063612335995,Welsch
0.0004127853835687,1701.1927445043088,Welsch
0.0004159489425094,1699.968984186812,Welsch
0.0004191125014501,1698.9335294283624,Welsch
0.0004222760603907,1698.0792098596958,Welsch
0.0004254396193314,1697.393733524014,Welsch
0.0004286031782721,1696.8602475766852,Welsch
0.0004317667372128,1696.457945080136,Welsch
0.0004349302961534,1696.1627012804936,Welsch
0.0004380938550941,1695.9477232790732,Welsch
0.0004412574140348,1695.7841979316256,Welsch
0.0004444209729755,1695.6419240455614,Welsch
0.0004475845319161,1695.4899164211186,Welsch
0.0004507480908568,1695.2969709232718,Welsch
0.0004539116497975,1695.0321815111813,Welsch
0.0004570752087382,1694.6654019353623,Welsch
0.0004602387676789,1694.1676465977644,Welsch
0.0004634023266195,1693.51142682439,Welsch
0.0004665658855602,1692.6710205054517,Welsch
0.0004697294445009,1691.622674701611,Welsch
0.0004728930034416,1690.3447423899988,Welsch
0.0004760565623822,1688.8177560262332,Welsch
0.0004792201213229,1687.0244420201172,Welsch
0.0004823836802636,1684.949681551643,Welsch
0.0004855472392043,1682.5804243708676,Welsch
0.0004887107981449,1679.905563301735,Welsch
0.0004918743570856,1676.9157780715857,Welsch
0.0004950379160263,1673.6033577717087,Welsch
0.000498201474967,1669.9620116762767,Welsch
0.0005013650339076,1665.9866782618665,Welsch
0.0005045285928483,1661.6733420406113,Welsch
0.000507692151789,1657.018867217355,Welsch
0.0005108557107297,1652.0208561951015,Welsch
0.0005140192696703,1646.677539588864,Welsch
0.000517182828611,1640.9877026981487,Welsch
0.0005203463875517,1634.9506513859506,Welsch
0.0005235099464924,1628.566218095589,Welsch
0.0005266735054331,1621.8348064052686,Welsch
0.0005298370643737,1614.7574701892404,Welsch
0.0005330006233144,1607.3360212504542,Welsch
0.0005361641822551,1599.5731573410378,Welsch
0.0005393277411958,1591.4726009181957,Welsch
0.0005424913001364,1583.039237902679,Welsch
0.0005456548590771,1574.2792452019971,Welsch
0.0005488184180178,1565.200195888395,Welsch
0.0005519819769585,1555.811131703128,Welsch
0.0005551455358991,1546.1225939783403,Welsch
0.0005583090948398,1536.146606068022,Welsch
0.0005614726537805,1525.8966028671246,Welsch
0.0005646362127212,1515.3873058452607,Welsch
